question_title,answer_url,question_url,author_name,fans_count,created_time,updated_time,comment_count,voteup_count,content
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/1655766375,https://www.zhihu.com/question/367331282,北京死宅,46545,2021-01-01T06:47:36.000Z,2021-01-06T14:03:19.000Z,128,1086,郭德纲有一个段子，叫小三灾，什么叫小三灾？非典艾滋癌，后两者都是什么级别的大家都心里有数，能和它们并列，可见一般人对非典是多么恐惧。首先，非典具有极强的死亡率，早期在人们不了解这种疾病时，死亡率达到百分之三十到四十，整体死亡率百分之十一，一些不发达国家，即使有完善的治疗方案，死亡率依然接近百分之三十。这种极高的死亡率，加上群众的恐慌情绪，给很多人一种非典是致命绝症的感觉，然后又进一步加剧了恐慌情绪。其次，当年没有现在的应对机制，我记得03年北京几乎没有什么防疫措施，宾馆饭店随便进，坐公共交通工具不要求戴口罩，去公共场所不需要登记，只要火车站机场等地有测温设备等等。这种不设防状态，让很多人草木皆兵疑神疑鬼。第三当年舆论确实在某种程度上加剧了恐慌，从早期的瞒报，到后期没有很好的起到安抚作用，总之当年的媒体表现不好。最后，非典是建国以后第一次严重的全国性传染性疾病，从上到下，大家即没有应对经验也没有足够的思想准备。各种谣言满天飞，同时由于早期的瞒报，政府公信力不足，辟谣效果不佳。补充几个问题：1，非典时期戴口罩吗？我不是服务行业的，不知道有没有这个要求，但是社会并没有强制戴口罩的要求，最少北京是这样的。2，服务行业，比如餐饮业，没有硬性规定歇业，最少非典时期我是经常出去吃的，虽然客人很少，但是一般饭店是营业的。3，交通方面并没有特别的隔离，当时因为工作原因北京天津两头跑，没什么限制。4，一些良好的习惯确实是非典以后才开始的，比如公交车消毒（岁月后来有没有真的每日消毒不知道），比如发热门诊（这个最少大医院都延续下来了）等等。5，媒体方面其实并没有一刀切，南方，特别是广东媒体是有一定报答的，但是北方部分媒体甚至有压制消息的情况，比如北青报等。
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/1010665809,https://www.zhihu.com/question/367331282,盐选推荐,7382361,2020-02-11T11:47:05.000Z,2020-02-11T11:48:03.000Z,0,67,一是因为不了解，二是因为它的传染性及致死率。我们已知现代瘟疫是无国度的，病毒到哪儿，都会在哪儿攻击人类。「非典」疫情有一个特点，即各地都出现了一些流行病学上被称为「超级传播者」，而我们习惯地把他们称为「毒王」的病人。「毒王」这种称呼确是由广东首创的。在关于「非典」的报道中，传媒上出现了「毒王」一词，这也是一线医务人员创造的简约性说法，传媒发现既形象，也准确，就推而广之地运用了，进而传至全国。每一个「毒王」的出现，都会放倒一批人，每一个「毒王」的出现，都会加重当地的疫情发展。我们来看看，各地的「毒王」是如何产生，又是如何造成重创的。2 月 22 日 香港广华医院：刘俭伦是否香港「非典」的源头香港最大的「毒王」恐怕要算那个造成淘大花园几百人感染的男人了。据《香港商报》2003 年 7 月 1 日报道：「淘大花园有 320 多人感染『非典』，其中 42 人死亡。」听起来简直令人毛骨悚然。然后他本人并不是淘大花园住户，只是他的一个亲戚住在淘大花园，他曾四次到访住在淘大花园 E 座的亲戚家中，因此把感染源带到了淘大花园。这个「毒王」和造成广州多家医院重创的「毒王」不同，广州的「毒王」至今也不知道传染源在哪里，即他是在哪儿被传染的。香港的这个「毒王」已经查明他的传染源，是香港威尔斯亲王医院 8A 病房的一个病人，此人是另一个香港「毒王」。今年 3 月 5 日，一位香港男性患者因发烧不适，入住香港威尔斯亲王医院 8A 病房。病人发烧咳嗽，医生在医治中，曾采取用过喷雾式药物治疗，事后检查，怀疑病人咳出的飞沫迅速散布于整个病室，所有在场的、进过 8A 病房的十多名医护人员全部被感染，接着，「非典」病毒迅速在威尔斯亲王医院传播，至 3 月 13 日，该医院感染「非典」发病的医护人员为 115 人！3 月下旬，淘大花园「毒王」曾到香港威尔斯亲王医院 8A 病房探视过病人，怀疑在此被威尔斯亲王医院的「毒王」感染。淘大花园「毒王」是个严重的肾病患者，免疫能力很差，到访淘大花园 E 座亲戚家中时有腹泻，并在亲戚家中多次入厕。3 月 24 日，淘大花园 E 座居民中有 40 人感染「非典」，另有其他座的 30 多人发烧发病，到 3 月 30 日淘大花园已有 85 人感染「非典」，占当时香港感染「非典」病人总数的五分之一。后来世界卫生组织的专家都到访过淘大花园，就是寻找这个传染源到底在哪儿。这时有必要说明一下，淘大花园并不是一个中文准确意义上的花园，而是一组高层建筑。香港人的很多中文用法和内地不同，经不住推敲，例如，著名的太古广场，你第一次去一定找不到，因为根本没有什么广场，同样是一幢摩天大厦。据说，惹祸的是这座高层建筑厕所里排污管的一种弯头，这种弯头排水不充分，造成污水残留，使「非典」病毒迅速扩散。为彻底隔断淘大花园这个最大的传染源，也为了防止「非典」病毒由淘大花园向外更大的扩散，3 月 31 日清晨，香港特区政府卫生署对淘大花园发布了「隔离令」，并将淘大花园 E 座未感染上「非典」的住户迁移至一海边度假村隔离。截至 4 月 13 日下午 1 点，香港因「非典」而入院治疗的累计人数为 1150 人，其中淘大花园的居民为 316 人。有一种说法，香港威尔斯亲王医院 8A 病房的「毒王」，曾在 2 月 21 日至 23 日间去过京华国际酒店 9 层探访过客人。而这个香港京华国际酒店又与一个叫刘剑伦的医生连在一起。刘俭伦是一位已经 64 岁的老人，广州中山二院的教授、著名的肾内科专家，几年前退休后又被中山二院返聘回院仍在肾内科工作。前面关于中山二院的章节我已经介绍过，中山二院由于在广州中心区几乎寸土寸金的珠江边，它主要由三幢大楼组成，中间是有着 70 多年历史的博济楼，两边是分别与近年建成的中山楼和岭南楼。刘俭伦所在的肾内科在岭南楼的 12 楼。我们已经知道收治中国第一个「毒王」的中山二院呼吸内科也在岭南楼的 12 楼，并且与肾内科相邻，同属于中山二院大内科，科主任就是女博士伍卫。2003 年 1 月 30 日到 2 月 1 日的上午，后被称为「毒王」的周姓非典患者就收治在呼吸内科。刘俭伦虽在肾内科工作，但没有接触过「非典」病人。但他与后来纷纷被感染的呼吸内科同事们有过接触，并且在同一电梯上下班。去香港前，刘俭伦已经感到不适，有低烧、咳嗽。医院给他做了多次检查，虽然发烧，但多次量体温，最高的一次只有 38 度；三次验血，白血球都高达 1 万以上，而「非典」病人的白血球表现为不高甚至降低；拍了胸部 X 光片，发现左下肺有阴影，服用抗生素后阴影消失了。而几乎所有的「非典」病例都显示，抗生素对「非典」病人无效。当时所有的症状，都不支持诊断刘剑伦为「非典」病人。在症状逐渐减轻后，刘俭伦对自己的诊断是轻度的典型肺炎，典型肺炎是临床上常见的多发病，其并不在国家《传染病防治法》中所列的传染病之列，一般经过抗感染治疗后愈后恢复也快。刘俭伦本来就症状轻微，经过几天治疗后自我感觉良好，便与太太同行于 2 月 21 日抵达香港出席外甥女的婚礼，住在九龙京华国际酒店 9 层 911 房间。这一天晚上，另有三个新加坡女人同住 9 层，911 房的对门 910 房，住着一个陈姓的美籍华裔商人，他从上海取道香港前往河内。刘俭伦夫妇入住后，一对来自多伦多的夫妇办了退房手续，他们也是 9 楼的房客。2 月 22 日，刘俭伦自觉不适加重，便到香港广华医院求诊，被留院观察。作为一个医生刘俭伦已经感觉到随着病情症状的发展，自己患的不像是典型肺炎，便明确地告诉医护人员自己来自广州，有可能在不所知的情况下接触过「非典」病人，提醒香港医院的医护人员注意防范及考虑相关治疗措施。2 月 23 日，刘俭伦的病情开始恶化，经几番抢救无效，于 3 月 4 日去世。香港广华医院参与过救治刘剑伦的一名医生和五名护士后来感染上「非典」。从刘俭伦在香港广华医院昏迷到去世这几天，有六位曾与刘俭伦同住在国际酒店 9 层的房客，也分别在越南的河内、新加坡和加拿大的多伦多发病，并感染上相关的医护人员。香港继广州后，成为「非典」重创的又一个城市。最初似乎有一种共同的看法，香港的「非典」源头由刘俭伦而起。后来，香港中文大学的微生物系医学院试验室，也就是最早发现「非典」冠状病毒的试验室之一，在分析香港「非典」病人身上变异的冠状病毒时，发现它们基因和刘俭伦身上找到的冠状病毒基因并不同源。2003 年 5 月 2 日，香港中文大学医学院公布了他们研究的结果，指出今年 3 月上旬「非典」于威尔斯亲王医院暴发时，已最少有三个源头同时存在香港。这更有力地说明刘剑伦并不是「非典」在香港暴发的唯一源头。于是，那种说香港「非典」完全来自刘俭伦的声音渐渐地就消失了。2 月 26 日 越南河内越法医院：收治一位美籍华裔商人写这一节不是为了记录国外「非典」的发生和治疗情况，因为这部作品主要还是记录广东抗击「非典」的历程，但是「非典」作为一种新型传染性疾病，它已经在世界范围内发生和传播，那么同样抗击「非典」也就是人类共同的斗争。写这一节，是为了提醒人们记住一个人。在中国抗击「非典」的斗争中，中国的医生，中国的护士，中国的医务工作者以及有关方面，在一场突如其来的灾害面前，所表现出了崇高的献身精神，感动了整个社会，感动了所有的中国人。有一位外国医生，在疾病来临之际，同样以崇高的责任感工作在抗击「非典」一线，并且及时发出警告，拯救了别人的生命，而他自己却倒下了。这个人就是世界卫生组织驻河内的传染病学专家、寄生虫病专家，意大利人卡洛·乌尔巴尼。河内，2 月 26 日，河内南城近郊的越法医院收治了一个到河内做生意的美籍华裔商人。入院之初，病人只是发高烧，但用了各种抗感染药物都无疗效。乌尔巴尼作为世界卫生组织驻河内的传染病学专家，得知消息后，于 2 月 28 日赶到了越法医院，他在病人身上发现了一种非常规的病毒。乌尔巴尼认为，这是一种非同寻常的疾病，引起这种病症的病毒与以往导致感冒、肺炎等病症的病毒完全不同，乌尔巴尼也称其为「非典型肺炎病毒」。闻讯赶来的乌尔巴尼医生感觉到这个病人的不同寻常，他建议医院采集病人的血样及咽拭子，这些化验样本后来送到了世界卫生组织在日本的合作试验室、美国亚特兰大的疾控中心总部、河内的国家卫生及流行病学院。后经了解：患者是从上海出发，途经香港，再来到越南河内的。在香港时下榻于九龙京华国际酒店 9 层。3 月 3 日开始病情继续恶化，出现咳嗽、呼吸困难，高烧达 42 度。3 月 5 日，给患者看病的越法医院的五名医护人员开始发烧。乌尔巴尼震惊之余，当天便向世界卫生组织日内瓦总部作了报告，次日又有 6 名医护人员感染。乌尔巴尼和他的菲律宾同事会商后认为这个病有可能通过空气传播，他要求封闭越法医院，并采取严格的传染病控制措施，对所有患有这种神秘疾病的患者进行集中、隔离治疗。
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/1655805529,https://www.zhihu.com/question/367331282,杨个毛,3188,2021-01-01T07:26:36.000Z,2021-01-01T07:32:28.000Z,4,61,这个问题是 2020 年 1 月 21 日提的。当时是官方宣布确认新冠人传人的第二天，从发现疑似人传人的证据的 1 月 14 日推算，也只是第八天。当时全国日增病例数还是两位数，是风暴前最后的“平静”。当时离武汉宣布封城还差两天。上面引用的回答是 2020 年 5 月 12 日写的。当时我国已经完全控制住了疫情，病例数定格在了 8万。而大部分国家经过了第一轮疫情的洗礼，显出一种初步控制的姿态（现在看来，其实是天气炎热等因素对疫情传播起到了一定控制作用，天气一凉下来就都崩了）。少部分表现特别差的国家则即使在五月，病例数也在一路狂飙。题主本人在 2020 年 12 月 28 号，在上述回答下面评论了一句。这时候我们的血清流调结果刚刚出来，一方面给我们吃了一颗定心丸，另一方面我们也基本确认了武汉当时的实际感染人数还是比之前的预计要高一些。这时候是英国发现变种新冠病毒的 14 天后。而这时候的美国病例数已经接近 2000 万。这就叫他妈的见证历史。而我们还在继续见证历史。历史让人害怕。（对，其实我写这个回答的主要目的是，有点看不下去各个答主不看看提问时间就嘲讽题主的做法……在 2021 年后知后觉地回答一个 2020 年初的问题有意思么？）
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/1645110462,https://www.zhihu.com/question/367331282,识鞋人,121,2020-12-25T07:39:26.000Z,2020-12-25T07:39:26.000Z,33,327,非典的可怕，在于它的死亡率高，据说平均十个确诊者就有一个死亡的！2002年春天，没有一点点防备，没有一点点的顾虑，非典就这样出现在我们的世界里！由于突如其来的疫情，给神州大地的太平生活来了一记重拳，足足花了五个月，疫情才逐渐平息。在这次疫情中，我国累计确诊7747例，死亡超过800人，致死率超过10%，这个比例远远超过今年的新冠肺炎！尽管死亡800多个人，对于一个14亿人口的大国来说，这个比例并不高，就算确诊了7000多人，稀释到14亿人口中，也只是能够泛起一点小小的浪花而已，但是真正造成恐慌的是人们对未知事物的恐惧！非典型肺炎是我们80后，印象中经历的第一次公共卫生事件，许多人心里根本就没有底，心中很慌。再者，对于非典病毒，我们的状态是两眼一摸黑，它的威力大不大，致死性强不强，传染力大不大，这场疫情将要持续多久，每个人心中都只有一个极其模糊的答案。而由于时任北京市长孟学农和卫生部部长张文康防治不力，以及隐瞒疫情，所以当非典疫情向全国通报的时候，北京的疫情已经比较严重了。当时人民打开电视，就能看到触目惊心的确诊者人数，死亡人数，没有经过一个循序渐进的过程，这个数字就如此突兀的呈现在群众的面前，群众们根本就没有心里准备，在广大群众心里肯定会形成对非典的病毒的恐惧这一点是毋庸置疑的。说到非典，其实我们医学界对于她根本就没有太好的办法，抗菌药物治疗没有效果，要想痊愈，就得依靠病人自身的免疫力，配合呼吸机治疗，重症患者只能用激素进行治疗。尽管在疫情中我们治愈了数千名确诊患者，但是说穿了，我们的医疗机构没有太多的办法应对这种可怕的病毒，大多数采取的是激素治疗，而且是大剂量，长时间的激素治疗。激素治疗并不能打败病毒，只是为了防止患者由于炎症风暴，呼吸衰竭，导致死亡，对于病毒根本就没有一点点的杀伤力，所谓的治愈，其实靠的还是人体自身的抵抗力。就好比打仗，人体抵抗力是正面抗战的主力，而激素是游击队，他的交战对手是各种各样的炎症，激素的作用就是为主战场的战士减轻压力，提供一个良好的战场环境，仅此而已。到现在为止，已经18个年头过去了，非典的特效药和特效疗法都没有产生，对于许多患者来说，要想治愈非典，全看天意，这怎么能让人感到不恐惧呢？患者在治疗期间，绝大多数都接受了激素治疗，治愈后多多少少都会对身体产生影响，有的人会出现肺部病变，如弥漫性间质纤维化，间质性肺炎，严重的朋友会出现运动系统的骨骨头缺血性病变及坏死。最可怕的是这些疾病都是无法根治的，必须长期服药，甚至终身服药，这极大影响了这些人的生活质量。股骨头坏死是一项非常可怕的后遗症，被称为不死的癌症。尽管激素治疗在非典者唱要人命的疫情中能够挽回患者的生命，但是得到了这种后遗症，也能把你的整个余生全部摧毁。如此严重的后遗症，也使得我们都谈非典而色变，不过正是因为有了非典的经验，有了非典的预演，我们才能够在对抗新冠病毒肺炎的战斗中游刃有余，能在经历了疫情最初的爆发之后，逐渐回归平静，成为世界上少有的一片净土，这也算是非典给我们中国带来的那一点点正面的影响吧！
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/1704200095,https://www.zhihu.com/question/367331282,知乎用户,76075,2021-01-29T06:00:47.000Z,2021-01-29T06:02:53.000Z,7,18,玩过《瘟疫公司》吗？如果没玩过建议去玩一下。ios，安卓，PC都有。新冠走的是猥琐流，致死率比较低，但传染性高。非典走的是激进流，致死率更高一些。就全球的传染态势来看，新冠无疑比非典更严重。因为致死率相对低下，症状相对轻，反而导致患者传染了更多的人。但就个人角度来看，非典比新冠更要命。新冠是路边的苍蝇馆子，薄利多销。非典是高档餐厅，菜价昂贵。但两个都挣钱。
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/999668070,https://www.zhihu.com/question/367331282,李西炜,9,2020-02-05T06:36:49.000Z,2020-02-05T06:36:49.000Z,16,49,八千可不少…而且那时候交通没有现在发达，人员流动也没有现在大，所以感染比较集中，没有这次人多。而且非典致死率和致残率都挺高，你想象一下，身边亲人怎么看起来就是发个烧，没两天就残了甚至死了。突然一天起床，隔壁一家人都死了，你说可怕不可怕
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/1665217596,https://www.zhihu.com/question/367331282,霜天晓月,37556,2021-01-07T01:37:16.000Z,2021-01-07T01:41:37.000Z,0,5,非典致死率高啊，早期一度到了50％左右。不说得了必死也看运气了，后期综合死亡率也超过10％。而且印象中非典越是年轻人死亡率越高，对于社会舆论来说更容易调动人的恐惧感。非典预后非常不好，当时没有太好的治疗方案只能大量用激素冲击疗法。后果就是很多患者骨质疏松股骨头坏死，后半生只能和轮椅为伴。而且实话说当时没做到应检尽检全面隔离，这个数字也就看看。
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/1699623237,https://www.zhihu.com/question/367331282,cesium99,3250,2021-01-26T15:44:57.000Z,2021-01-26T15:44:57.000Z,0,0,因果关系反了。是因为人如此害怕非典所以才只感染了8000人。人要是不怕非典.........
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/1656765239,https://www.zhihu.com/question/367331282,无处可逃,409,2021-01-02T03:05:52.000Z,2021-01-02T03:05:52.000Z,4,25,非典那年我正好中考，2003年真是记忆犹新的一年。对于乡镇中学的我们来说，非典只是存在于电视新闻中的传染病，亲身感受就是学校很紧张，村里很紧张。学校每天课间操的时候全部教室办公室宿舍都要消毒，每次回去一股刺鼻的消毒水的味道，说实话很不喜欢，当时也不太懂非典到底多危险，只是觉得每天消毒干嘛呀，我们那边又没人感染，小题大做得感觉。村里所有路口全部封闭，只留下了一个主要的出口还用土堆堵上，只能进出自行车摩托车拖拉机，外人不能进村，外地打工的回来一律居家隔离。当时最严重的时候我哥在大连打工，刚从大连回来村委员会就找上门来让居家不准出去，一旦发烧立马报告啥的。要说好处只有一个，往年中考乡镇上的学生都是要去县城学校考试的，非典那年为了防止传染就在各自学校考试，可以说下面乡镇上的学生免于奔波可以发挥更好一点吧！由于我在日本留学五年了，之前四年都没有在过年的时候回过家，想着今年怎么也得过年回家过，提前定了机票，1月22号回国，回来之前日本已经有报道武汉有疑似非典传染病的新闻，回去前一天晚上日本同事还嘱咐我要小心，我还说没事，结果回去第二天武汉就封城了，本来预计在家待上半个月的，结果航班取消待了20多天才回来日本，整个年节连村口都没出去。计划好的各种聚会一律取消了。亲身经历了非典，还有最严重时期的新冠疫情，以及中国和外国对于抗击疫情的不同，感触颇深，说实话，对于普通人来说，特别是生活教育医疗等方面，中国和日本还有很大差距，毕竟日本是老牌资本主义国家，底子在那摆着，但是这种社会性大问题上资本主义国家根本无法集中力量办大事，政府无法提供强有力的中央指挥，美国不清楚，日本政府的政策下面地级政府想不遵守就不遵守，各干各的，又想保经济又想防止疫情，对于政府来说肯定是想把国家往好处带，可是越是发达的资本主义国家的人民越是奇葩，东亚国家还好一些，看看欧美国家，简直就是不作不死，日本人也够呛，每个地区虽然每天都有更新确诊多少人，但奇葩的是不公布个人行动轨迹，而且美其名曰出于对个人隐私的保护，如果确诊者不想公布个人信息政府部门就不能公布，够不够奇葩！
为什么非典只感染八千人却让人如此害怕?,https://www.zhihu.com/question/367331282/answer/1812981942,https://www.zhihu.com/question/367331282,谈天口,6186,2021-04-02T01:30:24.000Z,2021-04-02T01:30:24.000Z,1,2,因为非典很强的致死率和很强的传染性说白了中国发现并且正视了非典的可怕知道虽然只有几千人感染，但是一旦掉以轻心，蔓延开来后果不堪设想因此用最大的力气去扑灭了 非典！同样的还有新冠中国在只有几百人确诊的时候就开始紧张了，然后用大炮轰蚊子的态度去对付新冠结果新冠仍然在中国造成了10万确诊，将近5千人死亡就这还被一帮公知们大肆批判至于对新冠掉以轻心的结果是什么样，现在不用说了吧！如果这次真的只有中国有这个病毒，在 去年4月份以后病毒就基本被控制了
